Samples,Coverages,Variants,Read Mean Length,Read Count,Filtered Read Count,Total Base,Filtered Total Base,q20,Filtered q20,q30,Filtered q30,Duplication,File Size
SAA11A2,44.2221,4995216,146.52,971570044,964044060,1.44281E+11,1.42879E+11,1.41434E+11,1.4042E+11,1.36192E+11,1.35329E+11,7.53902,
SAA11A3,89.9688,4994207,144.46,2013975236,1996217904,2.93662E+11,2.90785E+11,2.88491E+11,2.86534E+11,2.79494E+11,2.77853E+11,10.2357,
SAA11A4,65.3738,5055052,142.01,1482414240,1467253324,2.13779E+11,2.11415E+11,2.09967E+11,2.08365E+11,2.03526E+11,2.02169E+11,8.64343,
SAA11A7,39.1388,4915364,135.26,928689636,920705068,1.27782E+11,1.26498E+11,1.2577E+11,1.24864E+11,1.22147E+11,1.21381E+11,5.34619,
SAA11B2,34.954,4957441,145.54,773511922,767563806,1.14078E+11,1.12983E+11,1.11501E+11,1.10704E+11,1.0671E+11,1.06033E+11,5.12063,
SAA11B4,69.7959,5047833,146.34,1542739682,1530615490,2.27752E+11,2.25512E+11,2.23384E+11,2.21801E+11,2.15611E+11,2.14268E+11,8.6938,
SAA11B7,28.5252,4911120,143.37,639655396,633423520,93203701509,92151313723,91161489504,90406619256,87451023612,86816953136,4.75914,
SAA11D7,65.7858,4826492,147.48,1460464606,1450579518,2.15652E+11,2.13938E+11,2.12186E+11,2.10983E+11,2.05824E+11,2.04801E+11,8.70445,
SAA11E3,34.2527,4917773,144.25,764280656,757587234,1.11918E+11,1.10714E+11,1.09354E+11,1.08483E+11,1.04625E+11,1.03887E+11,4.53797,
SAA11E4,43.6227,4929688,145.31,966700602,957607308,1.42698E+11,1.41032E+11,1.39553E+11,1.38343E+11,1.33892E+11,1.32868E+11,6.62188,
SAA11E6,36.8188,4964653,145.67,810354838,802998788,1.20219E+11,1.18924E+11,1.17989E+11,1.17057E+11,1.13858E+11,1.13068E+11,5.36452,
SAA11E7,34.8897,4960549,145.32,794769162,786348304,1.17204E+11,1.1565E+11,1.14027E+11,1.12903E+11,1.08558E+11,1.07623E+11,3.51992,
SAA11E9,43.8702,4986018,145.63,1023220658,1014052688,1.51577E+11,1.49882E+11,1.48451E+11,1.47228E+11,1.42865E+11,1.41827E+11,6.70839,
SAA11F1,33.9314,4956785,142.82,764021858,753820766,1.11589E+11,1.09839E+11,1.08365E+11,1.07121E+11,1.02992E+11,1.01949E+11,4.37729,
SAA11F2,32.0832,4938503,146.07,719354286,713342374,1.06455E+11,1.05251E+11,1.03675E+11,1.02786E+11,98690526218,97937178482,3.73796,
SAA11F3,31.8044,4916477,144.95,702662936,697090018,1.03918E+11,1.02832E+11,1.01313E+11,1.00509E+11,96556506043,95872293056,3.34806,
SAA11F6,35.7006,4931236,145.41,786677382,780568070,1.16594E+11,1.15403E+11,1.13685E+11,1.12811E+11,1.08356E+11,1.07615E+11,3.73763,
SAA11F7,27.0382,4914551,141.69,611718166,605432938,88442627655,87410213651,86199658121,85473978705,82245309954,81638896528,3.80629,
SAA11F9,48.4762,5007712,145.92,1062601096,1052782154,1.58434E+11,1.56612E+11,1.55625E+11,1.54296E+11,1.50474E+11,1.49338E+11,7.46366,
SAA11G1,40.7699,4870515,141.23,932107840,919444274,1.33817E+11,1.31874E+11,1.3038E+11,1.29056E+11,1.24575E+11,1.2346E+11,6.16385,
SAA11G2,42.5414,4864263,145.3,940624388,931964130,1.3907E+11,1.37484E+11,1.36224E+11,1.35084E+11,1.3113E+11,1.30161E+11,6.44403,
SAA11G3,45.3563,5016734,144.19,1009033384,999305166,1.48348E+11,1.46631E+11,1.45623E+11,1.44379E+11,1.40756E+11,1.39699E+11,11.3049,
SAA11G4,36.5046,4946017,144.4,812988312,804918798,1.19428E+11,1.18007E+11,1.17196E+11,1.16162E+11,1.13183E+11,1.12301E+11,11.724,
SAA11K1,42.4554,4971401,143.99,950645796,942432526,1.38636E+11,1.37231E+11,1.36143E+11,1.35131E+11,1.31562E+11,1.30696E+11,11.6418,
SAA11K3,35.5121,4960327,146,781713388,776550372,1.15708E+11,1.14742E+11,1.13833E+11,1.13129E+11,1.10308E+11,1.09705E+11,4.90077,
SAA11K4,49.7085,4983861,145.08,1099629058,1091049156,1.62237E+11,1.60666E+11,1.59531E+11,1.58364E+11,1.54168E+11,1.53158E+11,4.41968,
SAA11K6,44.925,4821978,118.76,1226129158,1208692288,1.47356E+11,1.45265E+11,1.44991E+11,1.43668E+11,1.40986E+11,1.39858E+11,6.93487,
SAA11K7,31.6822,4919082,144.85,701626034,695372298,1.03445E+11,1.02341E+11,1.01562E+11,1.00763E+11,98030659540,97351508357,5.10331,
SAA11K9,58.702,5010293,144.45,1304065818,1294736138,1.91401E+11,1.89733E+11,1.88239E+11,1.87001E+11,1.81884E+11,1.80809E+11,4.75456,
SAA11L1,84.6575,5095245,144.58,1883553866,1869115244,2.7618E+11,2.73599E+11,2.71496E+11,2.69597E+11,2.62229E+11,2.60579E+11,6.59869,
SAA11L2,49.1314,5000855,146.69,1094147338,1071478314,1.61769E+11,1.5869E+11,1.581E+11,1.56117E+11,1.52224E+11,1.50539E+11,4.53124,
SAA11L7,14.2769,4602967,143.29,319681182,316848874,46601582366,46119388206,45878945632,45541267577,44582766705,44299713785,10.3615,
SAA11L9,52.213,5044911,146.14,1147363772,1137806044,1.70446E+11,1.68669E+11,1.67533E+11,1.66243E+11,1.6214E+11,1.61037E+11,8.1013,
SAA11M3,34.8809,4881097,145.61,766937178,760521464,1.1384E+11,1.12682E+11,1.1169E+11,1.10849E+11,1.0768E+11,1.06968E+11,5.90397,
SAA11M4,32.6463,4974759,145.71,718141384,712109748,1.06536E+11,1.05433E+11,1.04509E+11,1.03701E+11,1.00707E+11,1.00019E+11,4.86963,
SAA11M6,35.9082,4971003,138.03,834146010,824950092,1.17488E+11,1.16041E+11,1.15376E+11,1.14338E+11,1.11482E+11,1.10609E+11,6.13028,
SAA11M9,37.1028,4934678,144.25,822741874,816293048,1.21005E+11,1.1988E+11,1.19064E+11,1.1825E+11,1.15335E+11,1.14637E+11,5.44437,
SAA11N1,47.5713,5045769,142.91,1060354434,1050525362,1.55458E+11,1.53777E+11,1.52337E+11,1.5111E+11,1.46396E+11,1.45352E+11,4.48906,
SAA11N3,44.735,5004207,145.68,981621782,973178394,1.46136E+11,1.44541E+11,1.4362E+11,1.42455E+11,1.38954E+11,1.37954E+11,7.6752,
SAA11N4,46.0295,5011712,145.42,1013226670,1002415362,1.50758E+11,1.48768E+11,1.47637E+11,1.46172E+11,1.41966E+11,1.40724E+11,5.95766,
SAA11N6,32.4626,5001663,144.19,720850866,713236590,1.06323E+11,1.04926E+11,1.04127E+11,1.03102E+11,1.00167E+11,99292348800,5.82452,
SAA11N9,40.3114,4964119,145.18,887225902,877716548,1.32229E+11,1.3035E+11,1.29334E+11,1.27949E+11,1.24235E+11,1.23051E+11,6.8749,
SAA11S2,84.9705,5106560,145.94,1866354550,1849981334,2.77615E+11,2.74484E+11,2.72157E+11,2.69851E+11,2.62091E+11,2.60127E+11,4.93069,
SAA11S3,33.4785,4917084,146.5,733933910,728050092,1.09288E+11,1.08137E+11,1.07079E+11,1.06227E+11,1.02946E+11,1.02218E+11,5.03084,
SAA11S4,44.808,5023613,145.69,986435154,977953432,1.46288E+11,1.44724E+11,1.4352E+11,1.42375E+11,1.38347E+11,1.37369E+11,6.82703,
SAA11S6,38.8622,4814243,120.21,1041197128,1029862640,1.27157E+11,1.25627E+11,1.25029E+11,1.24005E+11,1.21268E+11,1.2041E+11,7.28074,
SAA11S7,37.1382,4952780,139.91,854050184,845697048,1.21434E+11,1.20002E+11,1.19108E+11,1.18085E+11,1.14981E+11,1.14118E+11,6.40794,
SAA11S9,37.2859,4888434,139.12,862431606,853822734,1.21948E+11,1.20485E+11,1.19561E+11,1.18521E+11,1.15356E+11,1.14484E+11,5.77319,
SAA11T2,32.2655,4925129,138.85,749283556,740421776,1.05676E+11,1.04262E+11,1.03515E+11,1.02521E+11,99735326012,98897045059,5.28416,
SAA11T3,35.0523,4815285,139.53,809434568,800986230,1.14715E+11,1.13274E+11,1.12433E+11,1.11405E+11,1.08426E+11,1.07562E+11,5.46177,
SAA11T4,34.2373,4663573,140.23,786607206,778075200,1.12096E+11,1.10633E+11,1.09718E+11,1.0867E+11,1.05527E+11,1.04648E+11,4.92888,
